q_num,q_statement,A,B,C,D,ans,explain,E
536,A web developer is concerned that a DDoS attack could target anapplication .Which AWS services or features can help protect against such anattack ?( Choose two .),  AWS Shield, AWS CloudTrail, Amazon CloudFront, AWS Support Center,  AC,Explanation :https:// aws.amazon.com/shield/, AWS Service Health Dashboard
537,"Which AWS service gives users on-demand ,self-service access to AWScompliance control reports ?", AWS Config, Amazon GuardDuty, AWS Trusted Advisor, AWS Artifact,  D,Explanation :https:// aws.amazon.com/artifact,
538,A company wants to provide one of its employees with access to AmazonRDS .The company also wants to limit the interaction to only the Aws and AWSsoftware development kits ( SDKs)Which combination of actions should the company take to meet theserequirements while following the principles of least privilege ?( Choose two .), Create an IAM user and provide AWs Management Console access only, Create an IAM user and provide programmatic access only, Create an IAM role and provide AWS Management Console access only ., Create an IAM policy with administrator access and attach it to the IAM user, BE,, Create an IAM policy with Amazon RDS access and attach it to the IAM user .
539,"A company has a compliance requirement to record and evaluate configurationchanges ,as well as perform remediation actions on AWS resources .Which AWSservice should the company use ?", AWS Config, AWS Secrets Manager, AWS CloudTrail, AWS Trusted Advisor,  A,Explanation :https:// aws.amazon.com/config/,
540,What are the advantages of deploying an application with Amazon EC2instances in multipleAvailability Zones ?( Choose two .), Preventing a single point of failure, Reducing the operational costs of the application, Allowing the application to serve cross-region users with low latency, Increasing the availability of the application,  AD,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-increase-availability.html, Increasing the load of the application
541,A workload on AWS will run for the foreseeable future by using a consistentnumber of Amazon EC2 instances .What pricing model will minimize cost whileensuring that compute resources remain available ?, Dedicated Hosts, On-Demand Instances, Spot Instances, Reserved Instances,  D,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-reserved-instances.html,
542,Which tool can be used to identify scheduled changes to the AWS infrastructure ?, AWS Personal Health Dashboard, AWS Trusted Advisor, Billing Dashboard, AWS Config,  A,Explanation :https:// aws.amazon.com/premiumsupport/technology/personalhealth-dashboard/,
543,Which of the following is the customer's responsibility when using Amazon RDS ?, Patching the operating system underlying hardware, Controlling traffic to and from the database through security groups, Running backups that enable point-in-time recovery of a DB instance, Replacing failed DB instances,  B,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/UsingWithRDS.html,
544,What is the customer's responsibility when using AWS Lambda ?, Operating system configuration, Application management, Platform management, Code encryption, D,Explanation :https://aws.amazon.com/lambda/security-overview-of-awslambda/,
545,A company wants to be notified when its AWS Cloud costs or usage exceeddefined thresholds .Which AWS service will support these requirements ?, AWS Budgets, Cost Explorer, AWS CloudTrail, Amazon Macie, A,Explanation :https:// aws.amazon.com/aws-cost-management/aws-budgets/,
546,Which AWS service provides the ability to host a database in the AWS Cloud ?, Amazon Aurora, Amazon DynamoDB, Amazon RDS, Amazon Redshift, B,Explanation :https:// aws.amazon.com//,
547,Which AWS service allows customers to purchase unused Amazon capacity atan oftendiscounted rate ?, Reserved Instances, On-Demand Instances, Dedicated Instances, Spot Instances, D,Explanation :https :// aws.amazon.com/ec2/spot/,
548,Which AWS service or feature requires an internet service provider ( ISP)and acolocation facility to be implemented ?, AWS VPN, Amazon Connect, AWS Direct Connect, Internet gateway, C,Explanation :https:// aws.amazon.com/directconnect/partners/,
549,Which AWS services offer compute capabilities ?( Choose two .), Amazon EC2, Amazon S3, Amazon Elastic Block Store ( AmazonEBS ), Amazon Cognito, AE,https://docs.aws.amazon.com/whitepapers/latest/awsoverview/compute-services.html, AWS Lambda
550,Which AWS service can be used to privately store and manage versions of sourcecode ?, AWS Code Build, AWS CodeCommit, AWS CodePipeline, AWS CodeStar, B,https://docs.aws.amazon.com /codecommit/latest/userguide/welcome.html,
551,Which AWS service should a cloud practitioner use to identify securityvulnerabilities of an account ?, AWS Secrets Manager, Amazon Cognito, Amazon Macie, AWS Trusted Advisor, D,https://www.coalfire.com/the-coalfire-blog/march-2019/awstrusted-advisor-for-security-compliance,
552,A company wants to ensure its infrastructure is designed for fault tolerance andbusinesscontinuity in the event of an environmental disruption .Which AWS infrastructurecomponentshould the company replicate across ?, Edge locations, Availability Zones, Regions, Amazon Route 53, C,https://d36cz9buwru1tt.cloudfront.net/AWS_BuildingFaultTolerantApplications .pdf ( 3),
553,Which AWS service feature is used to send both text and email messages fromdistributedapplications ?, Amazon Simple Notification Service ( AmazonSNS ), Amazon Simple Email Service ( AmazonSES ), Amazon CloudWatch alerts, Amazon Simple Queue Service ( Amazon), A,Explanation :https://aws.amazon.com/sns/faqs/,
554,Which AWS Cloud design principles can help increase reliability ?( Choose two .), Using monolithic architecture, Measuring overall efficiency, Testing recovery procedures, Adopting a consumption model, CE,Explanation :https:/ /wa.aws.amazon.com/wat.pillar .reliability.en.html, Automatically recovering from failure
555,A company is planning to launch an ecommerce site in a single AWS Region toa worldwide user basE. Which AWS services will allow the company to reachusers and provide low latency and high transfer speeds ?( Choose two .), Application Load Balancer, AWS Global Accelerator, AWS Direct Connect, Amazon CloudFront, BD,Explanation :https:// aws.amazon.com/cloudfront/faqs/cloudPas, AWS Lambda
556,"A company wants to connect to AWS over a private ,low-latency connectionfrom its remote officE. What is the recommended method to meet theserequirements ?", Create a VPN tunnel, Connect across the public internet, Use VPC peering to create a connection, Use AWS Direct Connect ., D,https://aws.amazon.com/getting-started/projects/connect-datacenter-to-aws/,
557,Which AWS service can be used to retrieve compliance reports on demand ?, AWS Secrets Manager, AWS Artifact, AWS Security Hub, AWS Certificate Manager, B,Explanation :https:// aws.amazon.com /artifact/,
558,company has an Aws-hosted website located behind an Application LoadBalancer .Thecompany wants to safeguard the website from SQL injection or crosssitescripting .Which AWS service should the company use ?, Amazon Guard Duty, AWS WAF, AWS Trusted Advisor, Amazon Inspector, B,,
559,How should a web application be deployed to ensure high availability in theAWS Cloud ?, Deploy multiple instances of the application in multiple Availability Zones ., Deploy multiple instances of the application in single Availability ZonE. , Deploy the application to a compute-optimized Amazon EC2 instance in a, Deploy the application in one Amazon EC2 instance in an Auto Scaling group ., A,single AvailabilityZonE. https://www.betsol.com/blog/how-to-make-high-availability-web-applications-on-amazon-web-services,
560,A company is running a self-managed Oracle database directly on Amazon EC2for its steady-state databasE. The company wants to reduce computecosts .Which option should the company use to maximize savings over a 3-yearterm ?, EC2 Dedicated Instances, EC2 Spot Instances, EC2 Reserved Instances, EC2 On-Demand Instances, C,Explanation :https:// aws.amazon.com /choosing-a-cloud-platform/,
561,"An external auditor has requested that a company provide list of all its IAMusers ,including the status of users' credentials and access keys .What it theSIMPLEST way to provide this information ?"," Create an IAM user account for the auditor ,granting the auditor administrator"," Take a screenshot of each user's page in the AWS Management Console ,then"," Download the IAM credential report ,then provide the report to the auditor"," Download the AWS Trusted Advisor report ,then provide the report to the", C,permissionsprovide the screenshots to the auditor .auditor .https:/ /docs.aws.amazon.com/IAM/latest/UserGuide/id_credentialsgettingreport .html,
